,1,2,cluster_lab
157942,-6.701766,-33.317207,1
208327,-2.4395099,-1.4844949,2
134324,16.51142,43.334988,0
126325,-9.212464,1.7239549,3
103010,12.653922,6.326174,2
166640,-27.656511,11.005844,3
214221,3.7093415,-29.90646,1
810439,-9.470287,36.555443,0
616645,-22.177753,-0.16282082,3
227533,-10.599681,-45.78175,1
192136,25.326366,0.6366138,2
206525,24.70337,-25.346525,1
604537,-8.226751,24.235964,0
987983,-1.7829105,34.79287,0
183741,-2.2626753,-3.1219807,2
263436,-22.191103,4.6448913,3
573249,-7.3451366,40.907677,0
173435,-32.974792,-19.758701,3
588565,-23.727993,21.56164,3
901139,22.065939,-25.25626,1
194443,1.3364657,24.499878,0
749361,6.209303,45.195633,0
486759,13.237138,-14.602106,2
877168,19.80026,15.8245325,2
151021,-1.0040374,36.612568,0
150423,-27.092754,6.3815393,3
114318,8.538954,-47.034077,1
150928,-13.157073,2.8337743,3
561242,17.6186,-37.410896,1
309636,-18.71677,6.312244,3
200513,-9.468291,26.430279,0
406836,10.323376,43.179394,0
200311,8.582241,7.572239,2
381038,-1.0627089,-19.581255,1
172130,0.15578304,-32.11365,1
519950,-28.22995,7.5444217,3
139637,30.354572,14.572891,2
131217,-12.4986315,-2.524412,3
180533,5.4488792,-14.246205,1
196346,11.231156,-44.19726,1
133019,-40.86187,-1.9805181,3
199150,-30.9652,14.33408,3
910241,-26.498823,18.751675,3
597869,-9.68496,-22.28766,1
189450,-4.2823997,-49.88961,1
165941,5.973943,24.726238,2
182840,-35.45207,-17.6449,3
100307,31.356802,-1.4395533,2
141826,-25.513388,16.612389,3
371843,-9.37484,-10.139827,3
143325,11.673336,28.932854,0
510225,14.229576,31.745789,0
173940,7.7774944,22.03231,2
187345,-40.004765,-3.4708889,3
160830,8.070105,-36.33173,1
378756,7.3260036,-3.089853,2
145531,9.538855,33.991558,0
818859,1.0230713,-48.65909,1
106319,-24.483292,35.650105,0
933253,-15.6421795,-12.299354,3
510326,19.22275,17.90821,2
119126,15.249278,-10.501607,2
176744,22.167265,-32.491768,1
213421,25.600376,19.721302,2
154835,18.67805,-22.907484,1
202820,13.270642,-16.662569,1
571144,5.9494166,-21.317385,1
185442,11.638161,-45.217003,1
346137,15.397517,-20.330225,1
197651,1.5442617,-47.274906,1
361941,-34.022854,0.21610871,3
140319,5.567982,-15.18743,1
123117,5.08767,-16.42014,1
690152,11.602804,42.952362,0
172635,-15.526855,37.446655,0
151526,-9.901717,38.365612,0
901442,-12.281897,-14.760022,3
140117,-28.301054,35.430584,0
185846,-19.329151,1.9917892,3
562345,-31.790798,-14.778799,3
153227,28.347942,-26.405432,1
174841,5.6520367,-34.777855,1
167238,-13.517589,-23.5652,3
208024,19.089237,-20.939966,1
826353,-15.55676,12.699792,3
445543,11.349729,11.378283,2
176441,12.46572,-7.6604424,2
308129,-37.158962,1.6842395,3
733548,19.49707,-26.159224,1
173637,-15.340765,-11.293053,3
325129,20.41014,-36.338783,1
766563,-3.1282105,32.49992,0
462139,-16.97077,-29.013973,1
394956,17.348211,-42.0403,1
114217,22.957945,-7.6610703,2
175136,20.447454,19.087502,2
782157,-32.9428,-15.648215,3
195445,-34.494682,-5.1699796,3
627852,35.032413,-5.4943576,2
103212,-4.37119,25.121574,0
159239,-5.1504297,-39.050472,1
148335,-1.6374419,41.806152,0
257542,14.147014,35.238758,0
578057,16.194897,-11.854573,2
463040,6.2781925,23.589502,2
115219,-1.7499554,46.736942,0
694362,-0.49706408,-34.779358,1
523032,-3.6048172,-11.058545,3
106521,-21.516916,28.5808,0
204016,27.492207,-2.2974489,2
362034,22.427591,-23.970985,1
131722,-13.077638,39.525715,0
922854,17.55073,15.003577,2
162733,-29.643456,-2.5466993,3
129432,8.806875,37.426033,0
889579,17.238104,-41.20712,1
105216,-1.8738425,-9.960344,3
586460,7.9305754,25.909071,2
106016,-3.1079946,18.378471,2
116524,-9.196889,-12.092219,3
557857,-9.581652,23.111542,0
171633,-3.3690195,-49.63911,1
137936,-13.29617,-1.8328094,3
421226,16.785013,40.849445,0
366042,28.511257,-1.2107384,2
205220,-30.055166,13.540036,3
163331,28.991913,2.8870232,2
186848,8.1437235,24.585812,2
148840,-0.9492612,34.35832,0
748662,29.567657,12.021337,2
115320,-6.5148993,-36.867973,1
138837,-23.123827,5.3943634,3
